listing_id,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,instant_bookable
9168908,True,9,22,36,304,2025-03-13,False
9171118,True,6,6,30,305,2025-03-13,False
9177409,True,0,12,25,286,2025-03-13,False
9199346,True,0,8,38,313,2025-03-13,True
9283035,True,9,17,22,22,2025-03-14,False
9295290,True,11,34,64,244,2025-03-13,False
9329121,True,0,0,0,71,2025-03-13,False
9363284,True,0,0,0,0,2025-03-14,False
9371337,True,4,7,20,264,2025-03-15,False
9410545,True,21,51,72,162,2025-03-13,True
9428134,True,0,3,20,263,2025-03-15,False
9430567,True,1,2,3,80,2025-03-14,False
9473056,True,0,29,32,263,2025-03-14,False
9486921,True,0,0,0,0,2025-03-13,False
9489305,True,30,60,81,356,2025-03-13,False
9576995,True,0,0,5,280,2025-03-13,False
9644823,True,27,57,87,362,2025-03-13,False
9660463,True,0,0,0,0,2025-03-13,False
9704912,True,28,58,88,363,2025-03-13,False
9732220,True,0,0,0,0,2025-03-13,True
9746563,True,0,0,26,301,2025-03-13,False
9854986,True,0,0,0,0,2025-03-14,False
9907100,True,3,18,41,41,2025-03-13,False
9920493,True,20,50,80,355,2025-03-13,False
9954831,True,2,15,39,86,2025-03-13,False
9973170,True,10,24,26,47,2025-03-14,False
10021464,True,8,22,38,86,2025-03-13,False
10021714,True,1,14,38,85,2025-03-13,False
10021958,True,4,24,38,86,2025-03-13,False
10059402,True,11,25,41,89,2025-03-13,False
10059646,True,5,26,36,84,2025-03-15,False
10082572,True,0,0,0,42,2025-03-13,False
10097934,True,2,13,23,43,2025-03-13,True
10104715,True,0,0,0,0,2025-03-13,False
10311634,True,23,53,83,83,2025-03-15,False
10359296,True,9,36,59,59,2025-03-13,True
10384001,True,2,19,49,49,2025-03-13,False
10403348,True,0,0,0,0,2025-03-13,False
10405545,True,0,0,0,0,2025-03-14,False
10429628,True,12,27,27,250,2025-03-13,False
10436526,True,1,1,20,200,2025-03-13,True
10453467,True,30,60,90,365,2025-03-13,False
10526371,True,9,19,46,321,2025-03-13,True
10542403,True,2,11,24,66,2025-03-15,False
10543751,True,6,26,30,238,2025-03-14,False
10543985,True,2,31,50,275,2025-03-13,False
10544363,True,0,0,0,0,2025-03-14,False
10551108,True,1,1,1,1,2025-03-15,False
10574467,True,13,36,46,58,2025-03-13,False
10617103,True,0,5,35,310,2025-03-13,True
10626368,True,4,13,21,70,2025-03-13,True
10654687,True,10,18,18,18,2025-03-15,False
10694497,True,27,57,87,176,2025-03-14,False
10785957,True,6,21,38,209,2025-03-13,False
10788926,True,0,0,0,0,2025-03-14,False
10860997,True,16,40,60,75,2025-03-15,False
10875641,True,6,19,40,305,2025-03-13,False
10978189,True,3,19,19,19,2025-03-13,False
10999657,True,0,0,0,0,2025-03-14,False
11036034,True,0,12,31,247,2025-03-13,False
11126528,True,1,1,1,1,2025-03-13,False
