listing_id,host_id,neighbourhood_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price
864602837061719255,454241,7,38.931851,-77.0317831,8,2.5,4.0,4.0,407.0
864612659407971609,53500538,31,38.93318615172676,-76.99044228094603,6,,2.0,,104.0
865750614623808761,10122089,2,38.88381697478954,-76.9938278082217,12,2.0,3.0,6.0,383.0
865828079875686170,124874156,2,38.88186555645949,-76.988477599646,6,2.0,2.0,3.0,275.0
865966548988722589,51803920,2,38.8904692,-76.9857615,6,2.5,3.0,4.0,419.0
866023355251270757,49655827,12,38.9383253,-77.0187476,4,1.0,1.0,2.0,97.0
866066830375756960,53500538,27,38.934912271018966,-76.99140649244433,3,1.0,1.0,1.0,97.0
866683095353149579,1238901,13,38.96909,-77.03717,10,4.0,5.0,5.0,765.0
866911161965668036,401218228,14,38.829943195989294,-77.00982738498615,9,2.0,3.0,5.0,133.0
867666915383121802,509660311,28,38.90283543896024,-76.98861291351362,1,1.0,1.0,1.0,180.0
867851813794296300,509660311,28,38.90340351025927,-76.98832068491441,1,1.0,1.0,1.0,85.0
868102882427362411,46630199,9,38.913495,-77.0249915,4,1.0,1.0,2.0,161.0
868163996759438642,39930655,2,38.8819364,-76.9992214,3,,1.0,,155.0
868164575925033597,39930655,2,38.8819364,-76.9992214,4,1.0,1.0,2.0,144.0
868164959965391429,39930655,2,38.8819364,-76.9992214,2,1.0,1.0,1.0,144.0
868165104177693250,39930655,2,38.8819364,-76.9992214,4,1.0,1.0,1.0,144.0
868195132345901909,39930655,11,38.9131774,-77.0387519,2,,1.0,,148.0
868197411022464775,39930655,11,38.9131774,-77.0387519,2,,1.0,,148.0
868197573930185358,39930655,11,38.9131774,-77.0387519,2,1.0,0.0,1.0,173.0
868198050996313768,39930655,11,38.9131774,-77.0387519,2,1.0,1.0,1.0,102.0
868207067516966070,39930655,11,38.9131774,-77.0387519,2,1.0,1.0,1.0,162.0
868207076241807543,39930655,11,38.9131774,-77.0387519,2,,1.0,,148.0
868208125416244038,39930655,11,38.91277090000001,-77.04135459999999,2,,,,148.0
868209019778870068,39930655,11,38.914324,-77.04398669999999,2,,1.0,,148.0
868209161625633515,39930655,11,38.914324,-77.04398669999999,4,,1.0,,148.0
868210389078044738,39930655,2,38.88644800000001,-77.00326470000002,3,1.0,1.0,2.0,158.0
868536132648376720,34225322,18,38.89231,-76.99825,2,1.0,1.0,1.0,129.0
868819885504103700,46630199,18,38.89802699999999,-76.9963889,4,,1.0,,140.0
869441769725225429,4008680,31,38.92148193060696,-76.98716643911777,6,2.5,3.0,3.0,181.0
869678339186629233,39930655,2,38.884616,-77.003731,4,,1.0,,155.0
869839438654238409,1569728,35,38.8995424,-76.94460029999999,1,1.5,1.0,1.0,39.0
870956314111881936,11410590,24,38.9028792,-77.0539156,2,,1.0,,186.0
871026284744865705,510341453,20,38.84288,-76.98839,4,1.0,2.0,2.0,90.0
871585201277840315,510341453,20,38.84314,-76.98835,4,1.0,2.0,2.0,83.0
871803014398741136,73780679,7,38.93273866374408,-77.03257363391006,10,3.5,5.0,5.0,450.0
871809460378286684,510341453,14,38.84293,-76.98998,2,1.0,1.0,1.0,98.0
872973641593210596,42253071,2,38.88639,-76.99167,2,1.0,1.0,1.0,107.0
873083491990298354,425019452,10,38.91500333647504,-77.0345423840829,2,,,,135.0
873083656766863716,425019452,2,38.8905438,-77.00153279999999,4,1.0,1.0,2.0,141.0
873283555662403687,80888415,7,38.93411252466159,-77.02191324498152,8,2.5,3.0,4.0,300.0
873289002194600692,43352899,24,38.9070037,-77.0481302,2,1.0,1.0,1.0,104.0
873321296064967976,80888415,7,38.93299112556495,-77.02163273199749,5,1.0,2.0,3.0,154.0
874065376435968341,21570891,19,38.90728,-77.06199,5,,2.0,,194.5
874476532101432568,17633,19,38.90663,-77.05657,4,2.5,2.0,2.0,300.0
874896739097261969,39930655,2,38.8867281,-77.0003517,2,1.0,1.0,1.0,113.0
875470162152099782,8139997,10,38.91611,-77.02158,2,1.0,1.0,1.0,134.0
875579340641513391,8139997,10,38.914695477437455,-77.0284210776079,2,,1.0,,135.0
876059853602705687,8139997,10,38.91669,-77.02504,4,,2.0,,135.0
876069440075726839,8139997,9,38.91347347956042,-77.02049646569154,5,,2.0,,153.0
876082674680134596,8139997,10,38.91521654014001,-77.02356381473724,4,,2.0,,135.0
876089868919156138,8139997,10,38.9180060183352,-77.02398587113933,4,,2.0,,135.0
876117163490040019,8139997,10,38.91624,-77.02304,2,1.0,1.0,1.0,123.0
876122334654415849,8139997,10,38.91628643639845,-77.02034585386698,2,,1.0,,135.0
876123918424765976,8139997,10,38.91487023096003,-77.02196882259493,2,1.0,1.0,1.0,123.0
876151051081165056,350184884,2,38.88039766236607,-76.98023206113649,8,2.5,2.0,6.0,188.0
876164551529442064,39930655,2,38.8867281,-77.0003517,2,1.0,1.0,1.0,136.0
876312233369537638,39930655,2,38.8815013,-76.9954697,4,1.0,1.0,2.0,149.0
876312496477401190,39930655,2,38.8815013,-76.9954697,4,1.0,1.0,2.0,168.0
